#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 10:49,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:942.11,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1400°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1300°C,,,,
#SEG. 2:1300°C/10.0(K/min)/1400°C,,,,
#SEG. 3:1400°C/00:15/1400°C,,,,
#SEG. 4:1400°C/04:00/1400°C,,,,
,,,surface area,2.68956
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1400.02586,152.5,2.0292534,,
1400.02573,152.75,2.0304638,,
1400.02839,153,2.0328935,,
1400.03178,153.25,2.0327689,,
1400.02868,153.5,2.0336233,,
1400.02966,153.75,2.0291555,,
1400.02992,154,2.0314873,,
1400.03014,154.25,2.0419893,,
1400.02771,154.5,2.0343353,,
1400.02814,154.75,2.0249547,,
1400.02746,155,2.0546273,,
1400.026,155.25,2.0441876,,
1400.02827,155.5,2.0396397,,
1400.0269,155.75,2.0485219,,
1400.02591,156,2.0507291,,
1400.02665,156.25,2.0497412,,
1400.02644,156.5,2.0464393,,
1400.02422,156.75,2.0499548,,
1400.02741,157,2.0552592,,
1400.03105,157.25,2.0619965,,
1400.03753,157.5,2.045665,,
1400.04177,157.75,2.0576978,,
1400.03676,158,2.0570926,,
1400.03128,158.25,2.0539153,,
1400.03062,158.5,2.0665088,,
1400.02769,158.75,2.059104,,
1400.02519,159,2.075747,,
1400.02475,159.25,2.0607149,,
1400.02559,159.5,2.0584365,,
1400.02578,159.75,2.0523578,,
1400.02606,160,2.0616138,,
1400.02621,160.25,2.0662774,,
1400.03047,160.5,2.0687783,,
1400.0347,160.75,2.0909482,,
1400.02899,161,2.0821995,,
1400.02873,161.25,2.0642037,,
1400.02816,161.5,2.0765569,,
1400.03182,161.75,2.0879667,,
1400.03179,162,2.0821995,,
1400.03105,162.25,2.0748926,,
1400.02794,162.5,2.0794939,,
1400.02726,162.75,2.0766637,,
1400.02601,163,2.0821194,,
1400.02486,163.25,2.1005869,,
1400.02566,163.5,2.0965463,,
1400.02339,163.75,2.0986378,,
1400.0217,164,2.0876552,,
1400.02334,164.25,2.0961458,,
1400.02645,164.5,2.0966887,,
1400.03101,164.75,2.0874416,,
1400.03356,165,2.1018685,,
1400.0338,165.25,2.0964662,,
1400.03218,165.5,2.1063452,,
1400.03102,165.75,2.0993142,,
1400.03172,166,2.1166336,,
