#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:25.01.2019 23:17,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:950.91,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200ÁC/04:00/1200ÁC,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200ÁC/04:00/1200ÁC,,,,
,,,surface area,2.594946
##Temp./ÁC,Time/min,Mass loss/mg,,
1200.02005,145.75,1.375011,,
1200.01672,146,1.365122,,
1200.01933,146.25,1.371678,,
1200.02174,146.5,1.371073,,
1200.02432,146.75,1.371865,,
1200.02327,147,1.377024,,
1200.01941,147.25,1.368235,,
1200.01613,147.5,1.373075,,
1200.01846,147.75,1.372217,,
1200.0212,148,1.378377,,
1200.02556,148.25,1.375968,,
1200.02282,148.5,1.378476,,
1200.02224,148.75,1.381204,,
1200.02077,149,1.385802,,
1200.01987,149.25,1.380907,,
1200.02015,149.5,1.380841,,
1200.01964,149.75,1.381589,,
1200.0214,150,1.384724,,
1200.02083,150.25,1.385043,,
1200.02285,150.5,1.381325,,
1200.02318,150.75,1.389124,,
1200.01972,151,1.391335,,
1200.01891,151.25,1.383448,,
1200.01816,151.5,1.387276,,
1200.02031,151.75,1.389938,,
1200.02334,152,1.39029,,
1200.02193,152.25,1.39315,,
1200.02034,152.5,1.391841,,
1200.01651,152.75,1.390961,,
1200.01768,153,1.39084,,
1200.01493,153.25,1.392677,,
1200.01655,153.5,1.394052,,
1200.01458,153.75,1.397055,,
1200.01715,154,1.392446,,
1200.01829,154.25,1.402302,,
1200.0204,154.5,1.393414,,
1200.01837,154.75,1.401136,,
1200.01554,155,1.398375,,
1200.01371,155.25,1.400575,,
1200.01388,155.5,1.400927,,
1200.01448,155.75,1.39931,,
1200.015,156,1.400014,,
1200.01579,156.25,1.402071,,
1200.0161,156.5,1.397275,,
1200.01462,156.75,1.400278,,
1200.01301,157,1.393722,,
1200.01307,157.25,1.405822,,
1200.01406,157.5,1.405404,,
1200.01482,157.75,1.405624,,
1200.01682,158,1.40162,,
1200.01669,158.25,1.408836,,
1200.01642,158.5,1.401785,,
1200.01453,158.75,1.410904,,
1200.01639,159,1.409749,,
1200.01493,159.25,1.410926,,
1200.0129,159.5,1.418252,,
1200.01091,159.75,1.409375,,
1200.01184,160,1.40624,,
1200.02068,160.25,1.411608,,
1200.02743,160.5,1.417449,,
1200.02699,160.75,1.414611,,
1200.0232,161,1.413148,,
1200.01899,161.25,1.417757,,
1200.01836,161.5,1.420001,,
1200.01651,161.75,1.404447,,
1200.01432,162,1.420276,,
1200.01599,162.25,1.419572,,
1200.01834,162.5,1.418351,,
1200.02179,162.75,1.423235,,
1200.02296,163,1.422883,,
1200.02281,163.25,1.422322,,
1200.02333,163.5,1.420617,,
1200.02234,163.75,1.4223,,
1200.02043,164,1.427404,,
1200.01966,164.25,1.421629,,
1200.01821,164.5,1.422333,,
1200.02066,164.75,1.423125,,
1200.01839,165,1.428999,,
1200.01797,165.25,1.423224,,
1200.01884,165.5,1.421772,,
1200.01623,165.75,1.428053,,
1200.0177,166,1.432299,,
1200.01939,166.25,1.426766,,
1200.02315,166.5,1.435346,,
1200.02549,166.75,1.427855,,
1200.02377,167,1.428526,,
1200.01977,167.25,1.434367,,
1200.01835,167.5,1.430946,,
1200.01515,167.75,1.434037,,
1200.01804,168,1.435478,,
1200.01713,168.25,1.434048,,
1200.01862,168.5,1.43605,,
1200.02108,168.75,1.432167,,
1200.02351,169,1.438041,,
1200.02303,169.25,1.43352,,
1200.02161,169.5,1.431727,,
1200.01931,169.75,1.436655,,
1200.01694,170,1.440648,,
1200.01621,170.25,1.443607,,
1200.01713,170.5,1.440516,,
1200.01841,170.75,1.438382,,
1200.01921,171,1.441616,,
1200.02116,171.25,1.442859,,
1200.02016,171.5,1.442144,,
1200.01924,171.75,1.446412,,
1200.01873,172,1.441572,,
1200.01714,172.25,1.442034,,
1200.02052,172.5,1.446269,,
1200.01962,172.75,1.44419,,
1200.02103,173,1.444212,,
1200.02208,173.25,1.448975,,
1200.02151,173.5,1.44199,,
1200.02099,173.75,1.451978,,
1200.02049,174,1.427228,,
1200.02088,174.25,1.452429,,
1200.02171,174.5,1.449404,,
1200.02288,174.75,1.454816,,
1200.02399,175,1.450691,,
1200.01979,175.25,1.458842,,
1200.01585,175.5,1.455894,,
1200.01832,175.75,1.455168,,
1200.02305,176,1.450119,,
1200.03152,176.25,1.454233,,
1200.03249,176.5,1.452176,,
1200.0288,176.75,1.457687,,
1200.02486,177,1.455146,,
1200.0205,177.25,1.460415,,
1200.01821,177.5,1.461845,,
1200.01577,177.75,1.461383,,
1200.01993,178,1.458721,,
1200.02008,178.25,1.458754,,
1200.02324,178.5,1.454706,,
1200.02463,178.75,1.461526,,
1200.02462,179,1.451208,,
1200.02503,179.25,1.469127,,
1200.02248,179.5,1.466124,,
1200.01927,179.75,1.460965,,
1200.01742,180,1.471316,,
1200.01387,180.25,1.470568,,
1200.01498,180.5,1.466267,,
1200.01691,180.75,1.468159,,
1200.0222,181,1.474935,,
1200.02063,181.25,1.473945,,
