#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 00:25,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:DS,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:872.52,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.519378
##Temp./°C,Time/min,Mass loss/mg,,
1350.03111,101.25,3.0322404,,
1350.0324,101.5,3.0256956,,
1350.03198,101.75,3.0242268,,
1350.03051,102,3.0208896,,
1350.0286,102.25,3.0384828,,
1350.02716,102.5,3.0442176,,
1350.02901,102.75,3.0348108,,
1350.02449,103,3.03561,,
1350.02794,103.25,3.0435588,,
1350.0276,103.5,3.0410316,,
1350.03131,103.75,3.0508704,,
1350.02908,104,3.04506,,
1350.02916,104.25,3.051162,,
1350.02567,104.5,3.046032,,
1350.0263,104.75,3.0509676,,
1350.02677,105,3.0526524,,
1350.02916,105.25,3.0628044,,
1350.0289,105.5,3.0623184,,
1350.02888,105.75,3.0696084,,
1350.02807,106,3.06477,,
1350.02871,106.25,3.0574476,,
1350.03275,106.5,3.0708288,,
1350.03281,106.75,3.069144,,
1350.03224,107,3.067632,,
1350.03206,107.25,3.0726756,,
1350.03137,107.5,3.062232,,
1350.03084,107.75,3.0795984,,
1350.03013,108,3.0801492,,
1350.03024,108.25,3.0807972,,
1350.03217,108.5,3.0760236,,
1350.03355,108.75,3.0733668,,
1350.03656,109,3.081456,,
1350.03489,109.25,3.0908952,,
1350.03377,109.5,3.0899556,,
1350.03105,109.75,3.0883788,,
1350.0296,110,3.088476,,
1350.02814,110.25,3.0897072,,
1350.02719,110.5,3.0885408,,
1350.02911,110.75,3.0986496,,
1350.03033,111,3.1062852,,
1350.02847,111.25,3.1028616,,
1350.02246,111.5,3.101112,,
1350.0196,111.75,3.1025916,,
1350.01799,112,3.1139856,,
1350.02563,112.25,3.1173768,,
1350.03214,112.5,3.110724,,
1350.03776,112.75,3.1107024,,
1350.0366,113,3.1198824,,
1350.03319,113.25,3.1087044,,
1350.03349,113.5,3.1151412,,
1350.0324,113.75,3.1302396,,
1350.03,114,3.1291056,,
1350.03097,114.25,3.1199148,,
1350.02707,114.5,3.1172688,,
1350.03035,114.75,3.1249044,,
1350.0273,115,3.126492,,
1350.02775,115.25,3.1337064,,
1350.02858,115.5,3.1345596,,
1350.03148,115.75,3.1252608,,
1350.03469,116,3.1304664,,
1350.03663,116.25,3.135402,,
1350.03325,116.5,3.1380696,,
1350.03011,116.75,3.1380048,,
1350.02753,117,3.1376592,,
1350.02165,117.25,3.1315032,,
1350.01935,117.5,3.1348188,,
1350.02483,117.75,3.137022,,
1350.03092,118,3.1480488,,
1350.035,118.25,3.1437828,,
1350.03811,118.5,3.1477356,,
1350.03519,118.75,3.1529304,,
1350.037,119,3.1571424,,
1350.0347,119.25,3.1560408,,
1350.03357,119.5,3.1545612,,
1350.0315,119.75,3.1597236,,
1350.03028,120,3.1697352,,
1350.03051,120.25,3.1677156,,
1350.03278,120.5,3.1644756,,
1350.0299,120.75,3.1474764,,
1350.0317,121,3.173796,,
1350.03209,121.25,3.1705884,,
1350.03516,121.5,3.1806648,,
1350.03364,121.75,3.179142,,
1350.0327,122,3.1884624,,
1350.0323,122.25,3.1845096,,
1350.03233,122.5,3.1824036,,
1350.03236,122.75,3.1812048,,
1350.03084,123,3.177792,,
1350.03176,123.25,3.1890996,,
1350.03004,123.5,3.190482,,
1350.02612,123.75,3.1953852,,
1350.02447,124,3.1892184,,
1350.02556,124.25,3.1899744,,
1350.02821,124.5,3.1875228,,
1350.03166,124.75,3.194964,,
1350.03215,125,3.1981608,,
1350.02801,125.25,3.2058288,,
1350.02854,125.5,3.205872,,
1350.02982,125.75,3.2052888,,
1350.03107,126,3.1983012,,
1350.03056,126.25,3.1982472,,
1350.02952,126.5,3.1972752,,
1350.02536,126.75,3.2069844,,
1350.02683,127,3.2127948,,
1350.03028,127.25,3.2206788,,
1350.03181,127.5,3.2249664,,
1350.03406,127.75,3.2049,,
1350.03336,128,3.2091552,,
1350.03064,128.25,3.2200632,,
1350.028,128.5,3.2210028,,
1350.03024,128.75,3.2231952,,
1350.03166,129,3.2233896,,
1350.03587,129.25,3.2237568,,
1350.02999,129.5,3.2251392,,
1350.02792,129.75,3.237192,,
1350.02749,130,3.2359284,,
1350.02749,130.25,3.2212728,,
1350.03395,130.5,3.2342868,,
1350.03065,130.75,3.2322888,,
1350.0324,131,3.231468,,
1350.02719,131.25,3.2349996,,
1350.02897,131.5,3.2423976,,
1350.03183,131.75,3.2369976,,
1350.03385,132,3.234492,,
1350.03069,132.25,3.237192,,
1350.02852,132.5,3.2406264,,
1350.02293,132.75,3.2414364,,
1350.0222,133,3.2441688,,
1350.02521,133.25,3.243996,,
1350.03177,133.5,3.2465448,,
1350.03678,133.75,3.2545584,,
1350.03616,134,3.2497416,,
1350.03542,134.25,3.2510052,,
1350.03653,134.5,3.2533164,,
1350.03325,134.75,3.2546016,,
1350.03197,135,3.2586624,,
1350.02963,135.25,3.2543316,,
1350.02785,135.5,3.2588892,,
1350.02468,135.75,3.26457,,
1350.02528,136,3.2589108,,
1350.02828,136.25,3.2568156,,
1350.02969,136.5,3.2680152,,
1350.03401,136.75,3.2662008,,
1350.02714,137,3.2670432,,
1350.02821,137.25,3.265056,,
1350.0284,137.5,3.272346,,
1350.02724,137.75,3.2736636,,
1350.0292,138,3.28374,,
1350.02925,138.25,3.2711148,,
1350.02927,138.5,3.2769144,,
1350.03322,138.75,3.2943024,,
1350.0326,139,3.291786,,
1350.03305,139.25,3.294,,
1350.03184,139.5,3.287412,,
1350.03034,139.75,3.2926392,,
1350.02408,140,3.302478,,
1350.02345,140.25,3.3095304,,
1350.02223,140.5,3.3055668,,
1350.02325,140.75,3.2994108,,
1350.02407,141,3.2949936,,
1350.02476,141.25,3.305502,,
1350.03086,141.5,3.3028236,,
1350.03593,141.75,3.3022188,,
1350.03705,142,3.3061824,,
1350.03687,142.25,3.3061932,,
1350.03462,142.5,3.3052536,,
1350.03382,142.75,3.3054804,,
1350.03022,143,3.3074136,,
