#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:29.01.2019 12:06,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:829.41,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200°C/04:00/1200°C,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200°C/04:00/1200°C,,,,
,,,surface area,2.469012
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1200.02288,132.5,1.0597815,,
1200.01976,132.75,1.0484395,,
1200.01741,133,1.0663299,,
1200.01565,133.25,1.0534685,,
1200.01576,133.5,1.0581551,,
1200.01569,133.75,1.0620285,,
1200.01799,134,1.0530191,,
1200.01952,134.25,1.0548595,,
1200.01265,134.5,1.0654525,,
1200.01382,134.75,1.0645965,,
1200.01058,135,1.0607766,,
1200.01665,135.25,1.0666081,,
1200.02017,135.5,1.0655595,,
1200.02212,135.75,1.0733491,,
1200.02235,136,1.0691226,,
1200.02071,136.25,1.0662015,,
1200.0186,136.5,1.0715301,,
1200.01748,136.75,1.0762595,,
1200.01372,137,1.0706741,,
1200.01107,137.25,1.0713375,,
1200.00842,137.5,1.0683201,,
1200.00854,137.75,1.073959,,
1200.01107,138,1.0696041,,
1200.01629,138.25,1.0716906,,
1200.01398,138.5,1.0780036,,
1200.01109,138.75,1.0699465,,
1200.01122,139,1.0709951,,
1200.01123,139.25,1.06037,,
1200.01576,139.5,1.0836746,,
1200.01735,139.75,1.0820375,,
1200.01588,140,1.0808819,,
1200.01224,140.25,1.0766554,,
1200.01258,140.5,1.0767624,,
1200.01177,140.75,1.0716264,,
1200.01282,141,1.0872591,,
1200.01459,141.25,1.088404,,
1200.01571,141.5,1.0810531,,
1200.01917,141.75,1.095038,,
1200.01928,142,1.0834606,,
1200.0211,142.25,1.0823585,,
1200.02288,142.5,1.0794481,,
1200.02242,142.75,1.089367,,
1200.02148,143,1.074708,,
1200.01953,143.25,1.0802399,,
1200.02082,143.5,1.0796835,,
1200.01952,143.75,1.0841775,,
1200.02118,144,1.0928231,,
1200.01641,144.25,1.0943104,,
1200.01636,144.5,1.0882114,,
1200.01606,144.75,1.0954125,,
1200.01219,145,1.0832894,,
1200.01312,145.25,1.097927,,
1200.01129,145.5,1.0762809,,
1200.01323,145.75,1.106701,,
1200.01234,146,1.079844,,
1200.01471,146.25,1.0930371,,
1200.01853,146.5,1.0920955,,
1200.02229,146.75,1.107985,,
1200.0237,147,1.0983336,,
1200.02093,147.25,1.0958405,,
1200.01541,147.5,1.0981196,,
1200.01382,147.75,1.0995855,,
1200.01136,148,1.1025601,,
1200.01447,148.25,1.101565,,
1200.01405,148.5,1.102528,,
1200.01694,148.75,1.1065191,,
1200.01693,149,1.1011905,,
1200.01706,149.25,1.10959,,
1200.01764,149.5,1.1042721,,
1200.01923,149.75,1.099211,,
1200.01669,150,1.1009551,,
1200.01706,150.25,1.1078245,,
1200.01742,150.5,1.102742,,
1200.01919,150.75,1.1076426,,
1200.01766,151,1.1135169,,
1200.01725,151.25,1.1031914,,
1200.01947,151.5,1.104561,,
1200.01977,151.75,1.113335,,
1200.02423,152,1.1152075,,
1200.02211,152.25,1.1114946,,
1200.02347,152.5,1.114512,,
1200.02365,152.75,1.1128535,,
1200.02341,153,1.1114625,,
1200.02617,153.25,1.118043,,
1200.02409,153.5,1.1195731,,
1200.0215,153.75,1.1186529,,
1200.01922,154,1.1154964,,
1200.01794,154.25,1.119541,,
1200.01896,154.5,1.1165771,,
1200.01319,154.75,1.1183105,,
1200.01277,155,1.1199155,,
1200.01242,155.25,1.1219699,,
1200.01723,155.5,1.1257256,,
1200.01975,155.75,1.121253,,
1200.01822,156,1.1261001,,
1200.01892,156.25,1.1189525,,
1200.02046,156.5,1.1140091,,
1200.02099,156.75,1.1211246,,
1200.01959,157,1.1209855,,
1200.01718,157.25,1.1232539,,
1200.01682,157.5,1.1310221,,
1200.01677,157.75,1.137303,,
1200.01458,158,1.1304015,,
1200.01476,158.25,1.1248054,,
1200.01264,158.5,1.125961,,
1200.00999,158.75,1.1296525,,
1200.01234,159,1.1220555,,
1200.0117,159.25,1.1278014,,
1200.01924,159.5,1.1390685,,
1200.02046,159.75,1.1278014,,
1200.02135,160,1.1269026,,
1200.02117,160.25,1.135484,,
1200.01905,160.5,1.1366289,,
1200.01881,160.75,1.1371211,,
1200.01652,161,1.1289035,,
1200.01799,161.25,1.1353021,,
1200.01894,161.5,1.1382125,,
1200.02088,161.75,1.122216,,
1200.01812,162,1.1397105,,
1200.01877,162.25,1.1348741,,
1200.01683,162.5,1.1370355,,
1200.01895,162.75,1.13741,,
1200.01641,163,1.1378594,,
1200.01317,163.25,1.1402455,,
1200.01606,163.5,1.1418505,,
1200.01664,163.75,1.1420966,,
1200.02153,164,1.148217,,
1200.02006,164.25,1.133451,,
1200.01552,164.5,1.1455955,,
1200.01642,164.75,1.139122,,
1200.01318,165,1.1480351,,
1200.01947,165.25,1.1529785,,
1200.01994,165.5,1.129385,,
1200.0207,165.75,1.1459165,,
1200.01895,166,1.1434555,,
1200.01524,166.25,1.14276,,
1200.01394,166.5,1.1447609,,
1200.0103,166.75,1.1419575,,
1200.01207,167,1.1493619,,
1200.01565,167.25,1.159666,,
1200.02235,167.5,1.1517159,,
1200.02541,167.75,1.1427814,,
1200.02488,168,1.1428349,,
1200.02406,168.25,1.1608751,,
1200.02301,168.5,1.1464301,,
1200.02077,168.75,1.1388331,,
1200.01706,169,1.1501109,,
1200.01354,169.25,1.1488055,,
1200.0143,169.5,1.1494154,,
1200.01894,169.75,1.1616134,,
1200.02523,170,1.1633361,,
1200.03029,170.25,1.1551185,,
1200.02871,170.5,1.157847,,
1200.02894,170.75,1.1462589,,
1200.02293,171,1.1589705,,
1200.02047,171.25,1.165016,,
1200.01919,171.5,1.1559745,,
1200.01541,171.75,1.160094,,
1200.01193,172,1.1513521,,
1200.01175,172.25,1.1634966,,
1200.01553,172.5,1.159238,,
1200.02124,172.75,1.158703,,
1200.02166,173,1.1599335,,
1200.02012,173.25,1.1644275,,
1200.02212,173.5,1.1528715,,
1200.02258,173.75,1.162448,,
1200.02342,174,1.1402134,,
1200.02141,174.25,1.1772675,,
1200.02077,174.5,1.1593129,,
1200.02,174.75,1.1708154,,
1200.01828,175,1.1577721,,
1200.01887,175.25,1.1654975,,
1200.0187,175.5,1.1691355,,
1200.01759,175.75,1.1761654,,
1200.01618,176,1.1583606,,
1200.01506,176.25,1.164053,,
1200.0167,176.5,1.164588,,
1200.01776,176.75,1.1695421,,
1200.01722,177,1.1680976,,
1200.01852,177.25,1.1804775,,
1200.01886,177.5,1.181708,,
1200.02057,177.75,1.1705051,,
1200.02193,178,1.1696705,,
1200.02269,178.25,1.165337,,
